codigo_interno,company_owner,nome_completo,sexo,rg,cpf,data_nascimento,estado_civil,total_dependentes,cargo
51621,true,Lucas Oliveira,M,2345678-9,987.654.321-01,12/5/1990,Solteiro,1,a
98423,false,Isabel Santos,F,8765432-1,123.456.789-09,8/9/1985,Casada,2,b
65197,false,Pedro Silva,M,3456789-0,567.890.123-45,3/7/1988,Divorciado,0,c
1566,false,Gabriela Rodrigues,F,9876543-2,654.321.098-76,20/03/1992,Solteira,2,d
985,false,Marcelo Almeida,M,3456789-3,234.567.890-12,15/08/1983,Casado,1,e
8919,false,Simone Fernandes,F,8765432-4,432.109.876-54,10/11/1994,Viúva,0,f
65203,false,Rafaela Costa,F,7654321-5,543.210.987-65,5/6/1989,Solteira,1,g
50,false,Antonio Oliveira,M,1234567-6,789.012.345-67,28/02/1995,Casado,2,h
19868,false,Felipe Pereira,M,4321098-7,876.543.210-98,2/4/1980,Divorciado,3,i
987,false,Natalia Ferreira,F,7654321-8,210.987.654-32,17/10/1993,Solteira,0,j
655,false,Carla Santos,F,7654321-8,543.210.987-65,9/1/1986,Casada,2,k
702,false,Leonardo Silva,M,2109876-0,678.901.234-56,7/7/1997,Solteiro,0,l
205,false,Alice Sousa,F,5678901-1,109.876.543-21,18/11/1989,Casada,2,m
788986,false,Vitor Ramos,M,8765432-2,026.795.950-84,13/6/1994,Solteiro,1,n
98503,false,Beatriz Mendes,F,2109876-3,717.544.590-30,5/3/1982,Divorciada,2,o
514,false,Gabriel Oliveira,M,3456789-4,987.654.321-02,19/09/1987,Solteiro,1,p
988,false,Clara Santos,F,8765432-5,123.456.789-10,19/09/1987,Casada,1,q
6542,false,Pedro Oliveira,M,5678901-6,567.890.123-47,12/10/1988,Divorciado,0,r
1991,false,Ana Pereira,F,3456789-7,345.678.901-25,9/3/1995,Solteira,3,s
983,false,Carlos Rodrigues,M,2345678-8,234.567.890-14,18/05/1983,Casado,2,t
892,false,Sofia Almeida,F,543210-1,654.321.098-78,22/11/1987,Viúvo,0,u
653,false,André Fernandes,M,4321098-9,432.109.876-56,2/5/1992,Solteiro,1,v
51,false,Laura Costa,F,7890123-0,789.012.345-68,8/12/1998,Casado,2,w
1990,false,José Pereira,M,8765432-3,876.543.210-99,30/04/1980,Divorciado,4,x
988,false,Rita Ferreira,F,2109876-4,210.987.654-34,20/06/1993,Solteira,0,y
655,false,Manuel Santos,M,2109876-5,543.210.987-67,1/8/1986,Casado,2,z
701,false,Beatriz Silva,F,6789012-6,678.901.234-58,14/10/1997,Solteira,0,aa
1992,false,Miguel Sousa,M,1098765-7,109.876.543-23,27/07/1989,Casado,3,bb
788989,false,Helena Ramos,F,4321098-8,026.795.950-87,4/11/1994,Solteira,1,cc
98504,false,Guilherme Mendes,M,9876543-3,717.544.590-32,19/09/1982,Divorciado,2,dd
